,,,,,,,,,,Numerode,Casossegun,Fechade,Iniciode,Sintomas.,Notificacion,oToma,deMuestra,,,,,
Isla de Maipo8 ,40171 ,545 ,1356.7 ,13 ,32.4 ,77 ,191.7 ,77 ,191.7 ,0O 0 O 2 ,1 ,6 ,2 0 ,4 ,13 ,25 ,37 70 ,89 ,98 ,81 ,74 ,42 1 
La Cisterna& ,100434 ,2689 ,2677.4 ,86 ,85.6 ,240 ,239.0 ,239 ,238.0 ,O 0 3 10 ,13 ,20 ,18 28 ,64 ,121 ,241 ,328 307 ,425 ,415 ,311 ,276 ,107 2 
La Florida8 ,402433 ,11510 ,2860.1 ,310 ,77.0 ,1156 ,287.3 ,1149 ,285.5 ,1 2 12 31 ,59 ,65 ,78 106 ,205 ,592 ,1022 ,1532 1716 ,1628 ,1672 ,1177 ,1035 ,566 11 
La Granja ,122557 ,5978 ,4877.7 ,151 ,123.2 ,487 ,397.4 ,484 ,394.9 ,O 0 1 6 ,16 ,35 ,22 21 ,72 ,270 ,614 ,917 1024 ,803 ,813 ,633 ,503 ,222 6 
La Pintana& ,189335 ,8135 ,4296.6 ,212 ,112.0 ,675 ,356.5 ,672 ,354.9 ,0 1 3 9 ,21 ,34 ,49 94 ,153 ,321 ,668 ,879 1261 ,1368 ,1365 ,926 ,664 ,315 4 
La Reina& ,100252 ,1810 ,1805.5 ,58 ,57.9 ,180 ,179.5 ,180 ,179.5 ,0 0 12 15 ,12 ,18 ,8 13 ,41 ,75 ,124 ,221 306 ,253 ,237 ,219 ,173 ,82 1 
Lampa& ,126898 ,2827 ,2227.8 ,39 ,30.7 ,242 ,190.7 ,241 ,189.9 ,0 0 O 9 ,13 ,15 ,14 18 ,50 ,138 ,294 ,348 398 ,379 ,436 ,367 ,239 ,108 1 
Las Condes& ,330759 ,4866 ,1471.2 ,209 ,63.2 ,375 ,113.4 ,368 ,111.3 ,1 18 60 128 ,69 ,42 ,38 34 ,74 ,241 ,490 ,680 744 ,675 ,557 ,484 ,341 ,186 3 
Lo Barnechea ,124076 ,2664 ,2147.1 ,47 ,37.9 ,121 ,97.5 ,121 ,97.5 ,0 2 14 55 ,30 ,23 ,37 40 ,66 ,150 ,262 ,399 412 ,359 ,326 ,303 ,120 ,65 1 
Lo Espejo& ,103865 ,3496 ,3365.9 ,125 ,120.3 ,366 ,352.4 ,362 ,348.5 ,1 0 1 5 ,9 ,25 ,30 21 ,69 ,165 ,345 ,428 380 ,522 ,562 ,393 ,354 ,182 4 
