Quilicura8 ,254694 ,7976 ,3131.6 ,110 ,43.2 ,490 ,192.4 ,489 ,192.0 ,0 3 3 ,20 31 ,44 45 ,142 ,328 ,555 ,817 ,951 ,893 1034 ,1089 
Quinta Normal ,136368 ,5016 ,3678.3 ,134 ,98.3 ,383 ,280.9 ,382 ,280.1 ,0 2 6 ,14 26 ,40 51 ,53 ,100 ,265 ,462 ,581 ,703 734 ,657 
Recoleta& ,190075 ,7652 ,4025.8 ,254 ,133.6 ,388 ,204.1 ,385 ,202.6 ,0 0 7 ,14 18 ,40 46 ,116 ,284 ,741 ,1183 ,1121 ,986 867 ,770 
Renca& ,160847 ,6761 ,4203.4 ,172 ,106.9 ,723 ,449.5 ,722 ,448.9 ,0 0 4 ,7 11 ,9 35 ,67 ,111 ,296 ,632 ,735 ,831 782 ,837 
San Bernardo ,334836 ,9436 ,2818.1 ,244 ,72.9 ,978 ,292.1 ,972 ,290.3 ,0 1 6 ,24 41 ,66 79 ,123 ,163 ,341 ,659 ,897 ,1068 1305 ,1419 
San Joaquin8 ,103485 ,4254 ,4110.7 ,113 ,109.2 ,333 ,321.8 ,333 ,321.8 ,0 0 1 ,15 23 ,14 35 ,44 ,83 ,228 ,502 ,647 ,458 485 ,565 
San Jose de Maipo8 ,18644 ,531 ,2848.1 ,16 ,85.8 ,51 ,273.5 ,51 ,273.5 ,0 0 1 ,1 2 ,2 3 ,1 ,5 ,24 ,48 ,55 ,92 67 ,77 
San Miguel ,133059 ,4523 ,3399.2 ,95 ,71.4 ,328 ,246.5 ,326 ,245.0 ,1 0 3 ,27 22 ,28 47 ,49 ,78 ,202 ,440 ,508 ,609 601 ,645 
San Pedro& ,11953 ,185 ,1547.7 ,3 ,25.1 ,35 ,292.8 ,35 ,292.8 ,0 0 0 ,0 0 ,0 0 ,2 ,10 ,7 ,9 ,16 ,16 21 ,28 
San Ramon8 ,86510 ,3960 ,4577.5 ,124 ,143.3 ,266 ,307.5 ,262 ,302.9 ,0 0 1 ,2 11 ,11 13 ,42 ,91 ,248 ,456 ,552 ,533 456 ,557 
Santiago ,503147 ,13146 ,2612.8 ,222 ,44.1 ,758 ,150.7 ,758 ,150.7 ,1 2 29 ,100 106 ,150 167 ,174 ,388 ,949 ,1672 ,1665 ,1823 1598 ,1439 
Talagante ,81838 ,1332 ,1627.6 ,42 ,51.3 ,204 ,249.3 ,203 ,248.1 ,0 0 O ,4 8 ,7 3 ,10 ,10 ,44 ,59 ,95 ,125 154 ,186 
Tiltil ,21477 ,488 ,2272.2 ,9 ,41.9 ,61 ,284.0 ,61 ,284.0 ,0 0 0 ,2 1 ,2 1 ,6 ,5 ,11 ,34 ,43 ,58 61 ,92 
Vitacura& ,96774 ,1341 ,1385.7 ,47 ,48.6 ,102 ,105.4 ,102 ,105.4 ,0 6 32 ,50 29 ,14 7 ,5 ,13 ,56 ,159 ,211 ,184 149 ,137 
Desconocido& ,- ,19020 ,- ,0 ,- ,2370 ,- ,2370 ,- ,0 0 4 ,11 11 ,56 176 ,353 ,563 ,729 ,1573 ,2630 ,2837 2163 ,1945 
Total ,8125072 ,254025 ,3126.4 ,6140 ,75.6 ,21108 ,259.8 ,21017 ,258.7 ,14 67 348 ,1031 1128 ,1478 1916 ,2884 ,5300 ,12422 ,23354 ,30502 ,34032 33664 ,34028 
