Renca ,& 0 O 5 7 ,11 ,8 ,36 ,68 ,111 ,297 ,631 ,747 ,852 ,797 ,867 ,807 ,894 ,612 ,493 ,415 ,305 ,286 ,240 ,198 ,21 0 
San Bernardo ,& O 1 6 24 ,42 ,68 ,79 ,124 ,157 ,346 ,664 ,899 ,1078 ,1302 ,1415 ,1253 ,1074 ,832 ,586 ,418 ,254 ,230 ,203 ,171 ,25 O 
San Joaquin ,& 0 0 1 18 ,23 ,15 ,34 ,44 ,84 ,229 ,504 ,649 ,468 ,497 ,569 ,475 ,348 ,269 ,202 ,190 ,153 ,83 ,92 ,68 ,14 0 
San Jose de Maipo ,O O 1 1 ,2 ,2 ,3 ,1 ,4 ,22 ,51 ,57 ,92 ,67 ,78 ,62 ,43 ,43 ,27 ,32 ,15 ,38 ,31 ,7 ,1 O 
San Miguel ,& 1 1 3 27 ,24 ,28 ,47 ,49 ,79 ,210 ,453 ,521 ,624 ,586 ,643 ,467 ,432 ,257 ,214 ,166 ,121 ,64 ,121 ,83 ,19 O 
San Pedro ,0 O 0 0 ,0 ,O ,O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,19 ,12 ,6 ,2 ,8 ,6 ,4 0 
San Ramon ,& 0 O 1 3 ,11 ,11 ,13 ,42 ,90 ,249 ,456 ,558 ,534 ,462 ,550 ,415 ,300 ,197 ,183 ,163 ,101 ,74 ,59 ,45 ,3 O 
Santiago ,& 1 3 31 100 ,107 ,151 ,168 ,176 ,393 ,951 ,1715 ,1723 ,1875 ,1629 ,1471 ,1192 ,986 ,631 ,502 ,422 ,239 ,187 ,153 ,148 ,32 0 
Talagante ,& 0 0 O 4 ,8 ,7 ,3 ,10 ,10 ,44 ,58 ,99 ,122 ,154 ,185 ,221 ,209 ,187 ,139 ,78 ,54 ,67 ,25 ,31 ,7 0 
Tiltil ,& 0 0 O 2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,57 ,62 ,93 ,63 ,50 ,44 ,39 ,15 ,15 ,14 ,12 ,13 ,5 0 
Vitacura ,& 0 6 32 50 ,29 ,14 ,7 ,5 ,13 ,55 ,162 ,216 ,188 ,152 ,139 ,102 ,96 ,81 ,52 ,32 ,30 ,25 ,33 ,24 ,7 0 
Desconocido ,& 0 O 6 10 ,19 ,54 ,177 ,363 ,569 ,719 ,1424 ,2197 ,2435 ,1698 ,1370 ,1374 ,1435 ,870 ,486 ,308 ,173 ,115 ,133 ,84 ,64 0 
Total ,15 70 353 1044 ,1148 ,1483 ,1927 ,2910 ,5352 ,12530 ,23539 ,30601 ,34136 ,33578 ,33770 ,27621 ,23038 ,16595 ,12563 ,9634 ,6479 ,5364 ,5045 ,4260 ,933 0 
